pass_id	check	before_count	after_count	delta	status
I-0313	use_note	100	0	-100	pass
I-0313	boundary_label	170	0	-170	pass
I-0313	blocked_claims	284	0	-284	pass
I-0313	source_provenance	185	0	-185	pass
I-0313	project_ledgers	194	0	-194	pass
I-0313	private_edition_visual_layer	60	0	-60	pass
I-0313	source_boundaries	100	0	-100	pass
I-0313	raw_figure_id	100	0	-100	pass
I-0313	raw_asset_id	449	0	-449	pass
I-0313	raw_visual_id	201	0	-201	pass
I-0313	raw_source_id	1108	0	-1108	pass
I-0313	raw_claim_id	127	0	-127	pass
I-0313	sha256	0	0	0	pass
I-0313	windows_drive_path	0	0	0	pass
I-0313	file_uri	0	0	0	pass
I-0313	visual_portfolio	24	0	-24	pass
I-0313	portfolio_plate	31	0	-31	pass
I-0313	private_use_token	0	0	0	pass
I-0313	rendered_path	0	0	0	pass
I-0313	assets_path	0	0	0	pass
I-0313	source_card	19	0	-19	pass
I-0313	source_cards	2	0	-2	pass
I-0313	visual_board	10	0	-10	pass
I-0313	claim_boundaries	3	0	-3	pass
I-0313	visual_acquisition	49	0	-49	pass
I-0313	paraphrase_for_page	7	0	-7	pass
I-0313	local_evidence	7	0	-7	pass
I-0313	source_details_recorded	31	0	-31	pass
I-0313	claim_controls	2	0	-2	pass
I-0313	use_rule	11	0	-11	pass
I-0313	does_not_prove	393	0	-393	pass
I-0313	do_not_infer	2	0	-2	pass
I-0313	not_live_rank	47	0	-47	pass
I-0313	creator_org	46	0	-46	pass
I-0313	source_ids_label	0	0	0	pass
I-0313	source_snapshot_path	4	0	-4	pass
I-0313	internal_compound_id	350	0	-350	pass
I-0313	boundary_label_bare	7	0	-7	pass
I-0313	total	4123	0	-4123	pass
