pass_id	check	before_count	after_count	delta	status
I-0314	source_colon	373	0	-373	pass
I-0314	notes_colon	16	0	-16	pass
I-0314	http_url	273	0	-273	pass
I-0314	endnote_visible	33	0	-33	pass
I-0314	source_context	25	0	-25	pass
I-0314	source_surface_hyphen	21	0	-21	pass
I-0314	source_surface_phrase	73	0	-73	pass
I-0314	source_image_phrase	9	0	-9	pass
I-0314	public_web_screenshot	3	0	-3	pass
I-0314	reader_facing	3	0	-3	pass
I-0314	private_use	0	0	0	pass
I-0314	provenance	118	0	-118	pass
I-0314	rights	55	0	-55	pass
I-0314	checksum	60	0	-60	pass
I-0314	blocked_source_mechanics	7	0	-7	pass
I-0314	claim_controls	0	0	0	pass
I-0314	claim_limit	14	0	-14	pass
I-0314	does_not_claim	2	0	-2	pass
I-0314	does_not_make	10	0	-10	pass
I-0314	does_not_prove	0	0	0	pass
I-0314	do_not_infer	0	0	0	pass
I-0314	source_card	0	0	0	pass
I-0314	visual_guardrails	0	0	0	pass
I-0314	audit_process_language	4	0	-4	pass
I-0314	total	1099	0	-1099	pass
