pass_id	artifact	path	exists	bytes	sha256	pages	forbidden_total	note
I-0314	source_pdf	rendered/final_private_i0313/Next-Token-final-private-bureaucracy-purged-i0313.pdf	yes	65498375	fbf8e55e59d5ab54c072a29e30b246c18902714b0570ff6de25740ea6d44724d	549	1099	I-0313 bureaucracy-purged proof
I-0314	clean_html	rendered/final_private_i0314/Next-Token-final-private-endnotes-captions-i0314.html	yes	107690299	28ac09e5297570ff94ad91a0cfc67c92d96126258eb2ba35d3a0ad13ad236602			I-0314 endnotes-caption HTML
I-0314	clean_pdf	rendered/final_private_i0314/Next-Token-final-private-endnotes-captions-i0314.pdf	yes	65017843	e967e5f95936c110c353fd2389646d16b50db43ef2cce75a095bc715e7b10f0c	537	0	I-0314 endnotes-caption PDF
I-0314	counts	data/endnotes_caption_cleanup_counts_i0314.tsv	yes	929	c95237f9101d80f0a44184dd26f056b0796267fc3734400e8e5000b675194eb6			visible source/caption mechanics before/after counts
I-0314	qa	data/endnotes_caption_cleanup_qa_i0314.tsv	yes	426	99c72e996bb7a5a2037a87f3687b728d35e1d9450d51dfdabfcb74c3d688e7d9			I-0314 QA ledger
I-0314	captions	data/endnotes_caption_cleanup_captions_i0314.tsv	yes	68767	47ba72908e9e0e75934532c4b9281da007c4e4221753f884769eadaf48621ff2			caption rewrite ledger
I-0314	endnotes	data/endnotes_caption_cleanup_endnotes_i0314.tsv	yes	46925	117a09cd9cbb5515239f247de1b5f7b9c77334f7694f70e9b750644f8cbfef3f			old caption/source detail moved to ledger
I-0314	report	manuscript/endnotes-caption-cleanup-i0314.md	yes	1191	3cbd89ce7fd8f2a06aff3cb34da3974bdce181bde3ed0224213e81037b051b5c			I-0314 report
I-0314	pointer	champion/final-private-pdf-pointer-i0314.md	yes	574	109c5e5fe90b81e936276c14a016860e1576479bbfe0da93e86b771b06ea4ba0			I-0314 pointer
I-0314	cleaning_counts		yes					assets_sanitized=200; captions_total=300; captions_changed=267; caption_endnotes=267; nodes_removed=204; text_nodes_cleaned=2029; text_replacements=226
