pass_id	page	image_objects	drawing_objects	text_chars	source_or_blocked_label_hits	min_label_font_pt	visual_page	blank_like_page
I-0299	1	0	26	1318	0		yes	no
I-0299	2	1	4	1073	0		yes	no
I-0299	3	0	2	2330	0		no	no
I-0299	4	0	2	2626	0		no	no
I-0299	5	0	2	2426	0		no	no
I-0299	6	0	2	1643	0		no	no
I-0299	7	1	4	1348	0		yes	no
I-0299	8	0	2	2325	0		no	no
I-0299	9	0	2	2440	0		no	no
I-0299	10	0	2	2355	0		no	no
I-0299	11	0	2	2351	0		no	no
I-0299	12	1	4	1373	0		yes	no
I-0299	13	0	2	2550	0		no	no
I-0299	14	0	2	2468	0		no	no
I-0299	15	0	3	1493	0		no	no
I-0299	16	0	2	378	0		no	no
I-0299	17	1	4	625	0		yes	no
I-0299	18	0	2	2420	0		no	no
I-0299	19	0	2	2454	0		no	no
I-0299	20	0	2	2290	0		no	no
I-0299	21	0	2	2378	0		no	no
I-0299	22	0	2	2560	0		no	no
I-0299	23	0	2	2234	0		no	no
I-0299	24	0	2	2446	0		no	no
I-0299	25	0	2	2598	0		no	no
I-0299	26	0	2	2358	0		no	no
I-0299	27	0	2	2460	0		no	no
I-0299	28	0	3	503	0		no	no
I-0299	29	0	2	392	0		no	no
I-0299	30	1	4	566	0		yes	no
I-0299	31	0	2	2519	0		no	no
I-0299	32	0	2	2531	0		no	no
I-0299	33	0	2	2456	0		no	no
I-0299	34	0	2	2298	0		no	no
I-0299	35	0	2	2270	0		no	no
I-0299	36	0	2	2497	0		no	no
I-0299	37	0	2	2406	0		no	no
I-0299	38	0	2	2093	0		no	no
I-0299	39	0	2	2465	0		no	no
I-0299	40	0	2	2460	0		no	no
I-0299	41	0	3	1038	0		no	no
I-0299	42	0	2	361	0		no	no
I-0299	43	1	4	615	0		yes	no
I-0299	44	0	2	2455	0		no	no
I-0299	45	0	2	2509	0		no	no
I-0299	46	0	2	2183	0		no	no
I-0299	47	0	2	2515	0		no	no
I-0299	48	0	2	2402	0		no	no
I-0299	49	0	2	2564	0		no	no
I-0299	50	0	2	2154	0		no	no
I-0299	51	0	2	2300	0		no	no
I-0299	52	0	2	2473	0		no	no
I-0299	53	0	3	2217	0		no	no
I-0299	54	0	2	536	0		no	no
I-0299	55	0	2	371	0		no	no
I-0299	56	1	4	596	0		yes	no
I-0299	57	0	2	2356	0		no	no
I-0299	58	0	2	2445	0		no	no
I-0299	59	0	2	2389	0		no	no
I-0299	60	0	2	2277	0		no	no
I-0299	61	0	2	2380	0		no	no
I-0299	62	0	2	2349	0		no	no
I-0299	63	0	2	2739	0		no	no
I-0299	64	0	2	2507	0		no	no
I-0299	65	0	2	2514	0		no	no
I-0299	66	0	2	2395	0		no	no
I-0299	67	0	2	2679	0		no	no
I-0299	68	0	2	2294	0		no	no
I-0299	69	0	2	2425	0		no	no
I-0299	70	0	2	2437	0		no	no
I-0299	71	0	3	1918	0		no	no
I-0299	72	1	4	1068	0		yes	no
I-0299	73	0	2	2498	0		no	no
I-0299	74	0	2	2385	0		no	no
I-0299	75	0	2	2375	0		no	no
I-0299	76	0	2	2357	0		no	no
I-0299	77	1	4	1551	0		yes	no
I-0299	78	0	2	2505	0		no	no
I-0299	79	0	2	2265	0		no	no
I-0299	80	0	2	2354	0		no	no
I-0299	81	0	2	2652	0		no	no
I-0299	82	0	2	922	0		no	no
I-0299	83	1	4	1212	0		yes	no
I-0299	84	0	2	2518	0		no	no
I-0299	85	0	2	2290	0		no	no
I-0299	86	0	2	2553	0		no	no
I-0299	87	0	2	2486	0		no	no
I-0299	88	0	2	2465	0		no	no
I-0299	89	0	3	686	0		no	no
I-0299	90	0	2	371	0		no	no
I-0299	91	1	4	1419	0		yes	no
I-0299	92	0	2	2651	0		no	no
I-0299	93	0	2	2602	0		no	no
I-0299	94	0	2	1077	0		no	no
I-0299	95	1	4	868	0		yes	no
I-0299	96	0	2	2565	0		no	no
I-0299	97	0	2	2362	0		no	no
I-0299	98	0	2	1488	0		no	no
I-0299	99	1	4	1441	0	10.75	yes	no
I-0299	100	0	2	2525	0		no	no
I-0299	101	0	2	1546	0		no	no
I-0299	102	1	4	1446	0	10.75	yes	no
I-0299	103	0	2	2641	0		no	no
I-0299	104	0	2	2543	0		no	no
I-0299	105	0	2	2543	0		no	no
I-0299	106	1	4	1341	0	10.75	yes	no
I-0299	107	0	2	2429	0		no	no
I-0299	108	0	2	2360	0		no	no
I-0299	109	0	3	2242	0		no	no
I-0299	110	0	2	401	0		no	no
I-0299	111	1	4	1438	0		yes	no
I-0299	112	0	2	2393	0		no	no
I-0299	113	0	2	2321	0		no	no
I-0299	114	0	2	1469	0		no	no
I-0299	115	1	4	1459	0		yes	no
I-0299	116	0	2	2445	0		no	no
I-0299	117	0	2	2347	0		no	no
I-0299	118	1	4	1370	0		yes	no
I-0299	119	0	2	2446	0		no	no
I-0299	120	0	2	2391	0		no	no
I-0299	121	1	4	1476	0		yes	no
I-0299	122	0	2	2558	0		no	no
I-0299	123	0	2	2386	0		no	no
I-0299	124	0	2	2432	0		no	no
I-0299	125	0	3	996	0		no	no
I-0299	126	0	2	414	0		no	no
I-0299	127	1	4	586	0		yes	no
I-0299	128	0	2	2295	0		no	no
I-0299	129	0	2	2335	0		no	no
I-0299	130	1	4	1318	0		yes	no
I-0299	131	0	2	2526	0		no	no
I-0299	132	0	2	1634	0		no	no
I-0299	133	1	4	586	0		yes	no
I-0299	134	0	2	2609	0		no	no
I-0299	135	0	2	2408	0		no	no
I-0299	136	1	4	1480	0		yes	no
I-0299	137	0	2	2355	0		no	no
I-0299	138	0	2	1684	0		no	no
I-0299	139	1	4	1533	0		yes	no
I-0299	140	0	2	2510	0		no	no
I-0299	141	0	2	2458	0		no	no
I-0299	142	0	3	1194	0		no	no
I-0299	143	0	2	397	0		no	no
I-0299	144	1	4	714	0		yes	no
I-0299	145	0	2	2509	0		no	no
I-0299	146	0	2	2288	0		no	no
I-0299	147	1	4	1260	0		yes	no
I-0299	148	0	2	2514	0		no	no
I-0299	149	0	2	2464	0		no	no
I-0299	150	1	4	1222	0		yes	no
I-0299	151	0	2	2635	0		no	no
I-0299	152	0	2	2395	0		no	no
I-0299	153	1	4	1371	0		yes	no
I-0299	154	0	2	2527	0		no	no
I-0299	155	0	2	1486	0		no	no
I-0299	156	1	4	579	0		yes	no
I-0299	157	0	2	2482	0		no	no
I-0299	158	0	2	2431	0		no	no
I-0299	159	0	3	1292	0		no	no
I-0299	160	1	4	1028	0		yes	no
I-0299	161	0	2	2642	0		no	no
I-0299	162	1	4	1297	0		yes	no
I-0299	163	0	2	2471	0		no	no
I-0299	164	0	2	2543	0		no	no
I-0299	165	0	2	354	0		no	no
I-0299	166	1	4	713	0		yes	no
I-0299	167	0	2	2467	0		no	no
I-0299	168	0	2	2521	0		no	no
I-0299	169	1	4	683	0		yes	no
I-0299	170	0	2	2470	0		no	no
I-0299	171	0	2	1924	0		no	no
I-0299	172	1	4	592	0		yes	no
I-0299	173	0	2	2573	0		no	no
I-0299	174	0	2	2370	0		no	no
I-0299	175	0	2	2359	1	10.30	no	no
I-0299	176	0	3	635	0		no	no
I-0299	177	0	2	2081	0		no	no
I-0299	178	0	2	1384	0		no	no
I-0299	179	1	4	1599	0		yes	no
I-0299	180	0	2	2425	0		no	no
I-0299	181	1	4	1411	0		yes	no
I-0299	182	0	2	2680	0		no	no
I-0299	183	0	2	2617	0		no	no
I-0299	184	0	2	2633	0		no	no
I-0299	185	0	2	899	0		no	no
I-0299	186	1	4	1587	0		yes	no
I-0299	187	0	2	2635	0		no	no
I-0299	188	1	4	1146	0	10.75	yes	no
I-0299	189	1	4	1495	0	10.75	yes	no
I-0299	190	0	2	1932	0		no	no
I-0299	191	1	4	1435	0		yes	no
I-0299	192	0	2	2536	0		no	no
I-0299	193	0	2	2308	0		no	no
I-0299	194	0	2	2612	0		no	no
I-0299	195	0	2	2395	0		no	no
I-0299	196	0	2	2639	0		no	no
I-0299	197	0	2	2544	0		no	no
I-0299	198	0	2	2381	0		no	no
I-0299	199	0	2	2639	0		no	no
I-0299	200	0	2	2414	0		no	no
I-0299	201	0	2	2489	0		no	no
I-0299	202	0	3	1408	0		no	no
I-0299	203	0	2	801	0		no	no
I-0299	204	1	4	1372	0		yes	no
I-0299	205	0	4	2345	1	10.30	no	no
I-0299	206	0	9	1996	0		no	no
I-0299	207	0	4	2347	0		no	no
I-0299	208	0	4	2048	0		no	no
I-0299	209	1	4	1353	0		yes	no
I-0299	210	0	8	2415	0		no	no
I-0299	211	0	4	2065	0		no	no
I-0299	212	0	2	2472	0		no	no
I-0299	213	0	4	689	0		no	no
I-0299	214	1	4	1382	0		yes	no
I-0299	215	0	2	2478	0		no	no
I-0299	216	0	2	2425	0		no	no
I-0299	217	0	14	1833	0		yes	no
I-0299	218	0	3	782	0		no	no
I-0299	219	1	4	1190	0		yes	no
I-0299	220	0	2	2404	0		no	no
I-0299	221	1	4	1416	0		yes	no
I-0299	222	0	2	2634	0		no	no
I-0299	223	1	4	1455	0		yes	no
I-0299	224	0	2	2472	0		no	no
I-0299	225	0	2	2469	0		no	no
I-0299	226	0	2	2469	0		no	no
I-0299	227	1	4	1528	0		yes	no
I-0299	228	0	2	2582	0		no	no
I-0299	229	0	2	1038	0		no	no
I-0299	230	1	4	1479	0		yes	no
I-0299	231	0	2	2604	0		no	no
I-0299	232	0	2	1192	0		no	no
I-0299	233	1	4	1320	0		yes	no
I-0299	234	0	2	2518	0		no	no
I-0299	235	0	3	1064	0		no	no
I-0299	236	1	4	1084	0		yes	no
I-0299	237	0	2	2630	0		no	no
I-0299	238	0	2	1867	0	10.30	no	no
I-0299	239	1	4	883	0		yes	no
I-0299	240	0	2	2612	0		no	no
I-0299	241	0	2	2520	0		no	no
I-0299	242	1	4	1507	0		yes	no
I-0299	243	0	2	2591	0		no	no
I-0299	244	1	4	1494	0		yes	no
I-0299	245	0	2	2403	0		no	no
I-0299	246	0	2	2044	0		no	no
I-0299	247	1	4	1418	0		yes	no
I-0299	248	0	2	1796	0		no	no
I-0299	249	1	4	1661	0		yes	no
I-0299	250	0	6	2077	0		no	no
