pass_id	figure_id	chapter	asset_id	asset_type	page	image_count	largest_image_width_in	largest_image_height_in	largest_image_area_pct	caption_present	source_note_present	rights_stage_present	min_caption_font_pt	image_within_page	caption_collision	source_note_proximity	legibility_status	issues
I-0294	F01.01	CH01	A-0287-013	real_world_source_image	2	1	4.95	3.34	30.6	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F01.02	CH01	A-0069	svg_diagram	7	1	4.95	3.19	29.2	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F01.03	CH01	A-0070	svg_diagram	12	1	4.95	3.18	29.1	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F02.01	CH02	A-0285-001	source_surface_paper_report_excerpt	17	1	4.55	5.89	49.6	yes	yes	no	10.75	yes	no	same_page	warn	rights_stage_missing_on_page
I-0294	F03.01	CH03	A-0288-001	source_surface_paper_report_excerpt	30	1	4.16	5.89	45.3	yes	yes	no	10.75	yes	no	same_page	warn	image_too_small_for_trade_book_review;rights_stage_missing_on_page
I-0294	F04.01	CH04	A-0285-005	source_surface_paper_report_excerpt	43	1	4.55	5.89	49.6	yes	yes	no	10.75	yes	no	same_page	warn	rights_stage_missing_on_page
I-0294	F05.01	CH05	A-0285-002	source_surface_paper_report_excerpt	56	1	4.55	5.89	49.6	yes	yes	no	10.75	yes	no	same_page	warn	rights_stage_missing_on_page
I-0294	F06.01	CH06	A-0287-014	real_world_source_image	72	1	4.95	3.35	30.7	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F06.02	CH06	A-0284-006	real_world_source_image	77	1	4.95	2.78	25.5	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F06.03	CH06	A-0284-057	real_world_person_image	83	1	4.95	3.71	34.0	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F07.01	CH07	A-0016	svg_diagram	91	1	4.95	3.19	29.2	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F07.02	CH07	A-0284-052	real_world_person_image	95	1	3.84	5.10	36.3	yes	yes	yes	10.15	yes	no	same_page	warn	image_too_small_for_trade_book_review
I-0294	F07.03	CH07	A-0260-001	source_excerpt_card_svg	99	1	4.95	3.19	29.2	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F07.04	CH07	A-0260-002	source_excerpt_card_svg	102	1	4.95	3.19	29.2	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F07.05	CH07	A-0260-003	source_excerpt_card_svg	106	1	4.95	3.18	29.1	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F08.01	CH08	A-0056	svg_diagram	111	1	4.95	3.19	29.2	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F08.02	CH08	A-0287-017	real_world_source_image	115	1	4.95	3.35	30.7	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F08.03	CH08	A-0058	svg_diagram	118	1	4.95	3.19	29.2	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F08.04	CH08	A-0059	svg_diagram	121	1	4.95	3.19	29.2	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F09.01	CH09	A-0288-004	source_surface_paper_report_excerpt	127	1	4.55	5.89	49.6	yes	yes	no	10.75	yes	no	same_page	warn	rights_stage_missing_on_page
I-0294	F09.02	CH09	A-0289-004	benchmark_model_card_surface_documentation_surface	130	1	4.95	3.56	32.6	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F09.03	CH09	A-0288-016	source_surface_pdf_technical_report_page	133	1	4.16	5.89	45.3	yes	yes	no	10.75	yes	no	same_page	warn	image_too_small_for_trade_book_review;rights_stage_missing_on_page
I-0294	F09.04	CH09	A-0289-T001	benchmark_model_landscape_table	136	1	4.95	3.18	29.1	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F09.05	CH09	A-0287-015	real_world_source_image	139	1	4.95	3.35	30.7	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F10.01	CH10	A-0288-009	source_surface_paper_report_excerpt	144	1	4.55	5.89	49.6	yes	yes	yes	10.75	yes	no	same_page	pass	none
I-0294	F10.02	CH10	A-0286-004	benchmark_model_card_surface_model_card	147	1	4.95	3.56	32.6	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F10.03	CH10	A-0286-011	benchmark_model_card_surface_model_card	150	1	4.95	3.56	32.6	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F10.04	CH10	A-0287-019	real_world_source_image	153	1	4.95	3.35	30.7	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F10.05	CH10	A-0285-008	source_surface_paper_report_excerpt	156	1	4.55	5.89	49.6	yes	yes	no	10.75	yes	no	same_page	warn	rights_stage_missing_on_page
I-0294	F11.01	CH11	A-0289-001	benchmark_model_card_surface_model_card	160	1	4.95	3.56	32.6	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F11.02	CH11	A-0289-002	benchmark_model_card_surface_model_card	162	1	4.95	3.56	32.6	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F11.03	CH11	A-0285-010	source_surface_paper_report_excerpt	166	1	4.55	5.89	49.6	yes	yes	yes	10.75	yes	no	same_page	pass	none
I-0294	F11.04	CH11	A-0288-017	source_surface_pdf_technical_report_page	169	1	4.16	5.89	45.3	yes	yes	yes	10.75	yes	no	same_page	warn	image_too_small_for_trade_book_review
I-0294	F11.05	CH11	A-0285-011	source_surface_paper_report_excerpt	172	1	4.16	5.89	45.3	yes	yes	no	10.75	yes	no	same_page	warn	image_too_small_for_trade_book_review;rights_stage_missing_on_page
I-0294	F12.01	CH12	A-0094	svg_diagram	179	1	4.95	3.19	29.2	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F12.02	CH12	A-0095	svg_diagram	181	1	4.95	3.19	29.2	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F12.03	CH12	A-0096	svg_diagram	186	1	4.95	3.19	29.2	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F12.04	CH12	A-0097	svg_diagram	191	1	4.95	3.19	29.2	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F12.05	CH12	A-0260-017	source_excerpt_card_svg	188	1	4.95	3.18	29.1	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F12.06	CH12	A-0260-018	source_excerpt_card_svg	189	1	4.95	3.18	29.1	yes	yes	yes	10.15	yes	no	same_page	pass	none
I-0294	F13.01	CH13	A-0286-009	benchmark_model_card_surface_leaderboard_surface	204	1	4.95	3.56	32.6	yes	yes	yes	10.15	yes	no	same_page	pass	none
