pass_id	chapter	figure_count	first_figure_page	last_figure_page	page_span	pass_figures	warn_figures	fail_figures
I-0294	CH01	3	2	12	11	3	0	0
I-0294	CH02	1	17	17	1	0	1	0
I-0294	CH03	1	30	30	1	0	1	0
I-0294	CH04	1	43	43	1	0	1	0
I-0294	CH05	1	56	56	1	0	1	0
I-0294	CH06	3	72	83	12	3	0	0
I-0294	CH07	5	91	106	16	4	1	0
I-0294	CH08	4	111	121	11	4	0	0
I-0294	CH09	5	127	139	13	3	2	0
I-0294	CH10	5	144	156	13	4	1	0
I-0294	CH11	5	160	172	13	3	2	0
I-0294	CH12	6	179	191	13	6	0	0
I-0294	CH13	3	204	214	11	3	0	0
I-0294	CH14	6	219	233	15	6	0	0
I-0294	CH15	7	236	252	17	6	1	0
I-0294	CH16	9	258	279	22	9	0	0
I-0294	CH17	4	281	292	12	4	0	0
I-0294	CH18	5	296	307	12	5	0	0
I-0294	CH19	5	312	324	13	4	1	0
I-0294	CH20	5	329	341	13	3	2	0
I-0294	CH21	4	346	349	4	3	1	0
I-0294	CH22	4	361	370	10	4	0	0
I-0294	CH23	4	375	378	4	4	0	0
I-0294	CH24	4	388	391	4	4	0	0
