pass_id	chapter	figure_count	first_figure_page	last_figure_page	page_span	pass_figures	warn_figures	fail_figures
I-0293	CH01	3	2	8	7	0	3	0
I-0293	CH02	1	10	10	1	0	1	0
I-0293	CH03	1	16	16	1	0	1	0
I-0293	CH04	1	23	23	1	0	1	0
I-0293	CH05	1	30	30	1	0	1	0
I-0293	CH06	3	39	45	7	0	3	0
I-0293	CH07	5	49	57	9	0	5	0
I-0293	CH08	4	60	66	7	0	4	0
I-0293	CH09	5	69	77	9	0	5	0
I-0293	CH10	5	80	88	9	0	5	0
I-0293	CH11	5	90	98	9	0	5	0
I-0293	CH12	6	102	109	8	0	6	0
I-0293	CH13	3	115	121	7	0	3	0
I-0293	CH14	6	124	132	9	0	6	0
I-0293	CH15	7	134	144	11	0	7	0
I-0293	CH16	9	148	160	13	0	9	0
I-0293	CH17	4	162	168	7	0	4	0
I-0293	CH18	5	171	177	7	0	5	0
I-0293	CH19	5	179	186	8	0	5	0
I-0293	CH20	5	189	197	9	0	5	0
I-0293	CH21	4	200	203	4	0	4	0
I-0293	CH22	4	209	215	7	0	4	0
I-0293	CH23	4	218	221	4	0	4	0
I-0293	CH24	4	227	230	4	0	4	0
