pass_id	residue_id	before_count	after_count	delta	status
I-0307	windows_drive_path	685	0	-685	cleared
I-0307	file_uri	685	0	-685	cleared
I-0307	visible_assets_path	115	0	-115	cleared
I-0307	visible_rendered_path	685	0	-685	cleared
I-0307	private_use_token	215	0	-215	cleared
I-0307	publish_after_render_token	46	0	-46	cleared
I-0307	pending_final_layout_token	0	0	0	cleared
I-0307	proof_exists_phrase	0	0	0	cleared
I-0307	local_ignored_phrase	0	0	0	cleared
I-0307	full_path_phrase	99	0	-99	cleared
I-0307	generated_chapter_phrase	28	0	-28	cleared
I-0307	local_source_prefix	138	0	-138	cleared
I-0307	sha256_reader_visible	76	0	-76	cleared
I-0307	page_legibility_qa_phrase	0	0	0	cleared
I-0307	render_embedding_phrase	0	0	0	cleared
I-0307	ignored_by_git_phrase	11	0	-11	cleared
I-0307	source_review_phrase	11	0	-11	cleared
I-0307	publication_use_requires_phrase	0	0	0	cleared
I-0307	total	2794	0	-2794	cleared
