page	text_chars	image_count	drawing_count	residue_hits	process_hits	blank_like	visual_heavy	result	notes
1	1136	0	26	0	0	no	yes	pass	clean
2	629	0	4	0	0	no	no	pass	clean
3	0	0	3	0	0	no	no	pass	visual-only page
4	817	1	4	0	0	no	yes	pass	clean
5	2169	0	2	0	0	no	no	pass	clean
6	2465	0	2	0	0	no	no	pass	clean
7	2265	0	2	0	0	no	no	pass	clean
8	1482	0	2	0	0	no	no	pass	clean
9	1252	1	4	0	0	no	yes	pass	clean
10	2201	0	2	0	0	no	no	pass	clean
11	2477	0	2	0	0	no	no	pass	clean
12	2192	0	2	0	0	no	no	pass	clean
13	2167	0	2	0	0	no	no	pass	clean
14	1252	1	4	0	0	no	yes	pass	clean
15	2425	0	2	0	0	no	no	pass	clean
16	1980	0	2	0	0	no	no	pass	clean
17	1129	0	3	0	0	no	no	pass	clean
18	802	1	6	0	0	no	yes	pass	clean
19	575	1	6	0	0	no	yes	pass	clean
20	218	0	2	0	0	no	no	pass	clean
21	429	1	4	0	0	no	yes	pass	clean
22	2193	0	2	0	0	no	no	pass	clean
23	2294	0	2	0	0	no	no	pass	clean
24	2130	0	2	0	0	no	no	pass	clean
25	2218	0	2	0	0	no	no	pass	clean
26	2400	0	2	0	0	no	no	pass	clean
27	2074	0	2	0	0	no	no	pass	clean
28	2286	0	2	0	0	no	no	pass	clean
29	2438	0	2	0	0	no	no	pass	clean
30	2198	0	2	0	0	no	no	pass	clean
31	2300	0	2	0	0	no	no	pass	clean
32	343	0	3	0	0	no	no	pass	clean
33	698	1	6	0	0	no	yes	pass	clean
34	520	1	6	0	0	no	yes	pass	clean
35	520	1	6	0	0	no	yes	pass	clean
36	578	1	6	0	0	no	yes	pass	clean
37	573	1	6	0	0	no	yes	pass	clean
38	560	1	6	0	0	no	yes	pass	clean
39	589	1	6	0	0	no	yes	pass	clean
40	1942	0	65	0	0	no	yes	pass	clean
41	1024	0	24	0	0	no	yes	pass	clean
42	1877	6	31	0	0	no	yes	pass	clean
43	259	0	8	0	0	no	no	pass	clean
44	232	0	2	0	0	no	no	pass	clean
45	435	1	4	0	0	no	yes	pass	clean
46	2227	0	2	0	0	no	no	pass	clean
47	2371	0	2	0	0	no	no	pass	clean
48	2296	0	2	0	0	no	no	pass	clean
49	2138	0	2	0	0	no	no	pass	clean
50	2110	0	2	0	0	no	no	pass	clean
51	2337	0	2	0	0	no	no	pass	clean
52	2246	0	2	0	0	no	no	pass	clean
53	1933	0	2	0	0	no	no	pass	clean
54	2305	0	2	0	0	no	no	pass	clean
55	2300	0	2	0	0	no	no	pass	clean
56	878	0	3	0	0	no	no	pass	clean
57	780	1	6	0	0	no	yes	pass	clean
58	586	1	6	0	0	no	yes	pass	clean
59	589	1	6	0	0	no	yes	pass	clean
60	583	1	6	0	0	no	yes	pass	clean
61	581	1	6	0	0	no	yes	pass	clean
62	1888	6	31	0	0	no	yes	pass	clean
63	232	0	8	0	0	no	no	pass	clean
64	5468	0	99	0	0	no	yes	pass	clean
65	6169	0	107	0	0	no	yes	pass	clean
66	371	0	24	0	0	no	yes	pass	clean
67	201	0	2	0	0	no	no	pass	clean
68	484	1	4	0	0	no	yes	pass	clean
69	2383	0	2	0	0	no	no	pass	clean
70	2129	0	2	0	0	no	no	pass	clean
71	2023	0	2	0	0	no	no	pass	clean
72	2355	0	2	0	0	no	no	pass	clean
73	2242	0	2	0	0	no	no	pass	clean
74	2404	0	2	0	0	no	no	pass	clean
75	1994	0	2	0	0	no	no	pass	clean
76	2140	0	2	0	0	no	no	pass	clean
77	2313	0	2	0	0	no	no	pass	clean
78	2057	0	3	0	0	no	no	pass	clean
